episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description
456,20,43,"""The Darkness of the Akatsuki""Transcription: ""Akatsuki no Yami"" (Japanese: 暁の闇)",Kiyoshi Murayama,Katsuhiko Chiba,2016-04-14,NA,8,264,"Itachi becomes a rogue ninja and joins the Akatsuki. He is welcomed and introduced by Pain and Orochimaru as the ex-Leaf ANBU and the man who massacred his entire clan. Itachi is paired up with a man named Juzo, and their first job together is to fulfill an assassination request in the Land of Water."
457,20,44,"""Partner""Transcription: ""Aibō"" (Japanese: 相棒)",Shougo Arai,Katsuhiko Chiba,2016-04-21,NA,8.3,273,"Itachi is partnered with Kisame and begins his missions as a member of the Akatsuki. The duo succeeds in recruiting Deidara, so Pain assigns the newly formed team of Deidara and Sasori to hunt down the deserter Orochimaru. Meanwhile, intel comes in about an immortal killer, so Itachi, Konan and Kakuzu head out to the Land of Steam."
458,20,45,"""Truth""Transcription: ""Makoto"" (Japanese: 真)",Masayuki Yamada,Katsuhiko Chiba,2016-04-28,NA,8.3,403,"Itachi confronts Sasuke, who for years bore the shame and anger that Itachi brought upon their clan. The truth behind Itachi's story comes to light. Back on the battlefield of the Fourth Great Ninja War, Naruto and the others fight Madara, and just as he is declaring his victory, something unexpected occurs."
459,20,46,"""She of the Beginning""Transcription: ""Hajimari no Mono"" (Japanese: はじまりのもの)",Hisashi Ishii,Masahiro Hikokubo,2016-05-05,NA,8.2,388,"Kaguya Otsutsuki suddenly emerges from Madara's body. She is the mother of Hagoromo, the Sage of the Six Paths who entrusted his powers to Naruto and Sasuke. Kaguya's power is immense and instantly sends Naruto and Sasuke to an alternate dimension. Naruto and Sasuke are the only ones who can seal away Kaguya, but they can't find a jutsu that works against her."
460,20,47,"""Kaguya Ōtsutsuki""Transcription: ""Ōtsutsuki Kaguya"" (Japanese: 大筒木カグヤ)",Kazunori Mizuno,Shin Yoshida,2016-05-12,NA,7.6,264,"Kaguya Otsutsuki suddenly descends from the heavens as the people of the Land of Sou look on in surprise and suspicion. But their king, Tenji, is enthralled by her and takes her for his concubine. In this age of endless war, Kaguya wishes for nothing but peace. But as the self-proclaimed protector of the Divine Tree, she soon finds herself engulfed by the tides of chaos and war."
461,20,48,"""Hagoromo and Hamura""Transcription: ""Hagoromo to Hamura"" (Japanese: ハゴロモとハムラ)",Naoki Horiuchi,Shin Yoshida,2016-05-19,NA,8,268,"As Black Zetsu drains Naruto and Sasuke's Chakra into the reborn Kaguya, Black Zetsu tells the story of Kaguya's children: Hagoromo and Hamura in a world ruled by the Infinite Tsukuyomi. Filler episode."
462,20,49,"""A Fabricated Past""Transcription: ""Tsukurareta Kako"" (Japanese: 造られた過去)",Ayataka Tanemura,Shin Yoshida,2016-05-26,NA,8.2,283,"Kaguya is furious that Hagoromo has broken the law. Hagoromo finds out what Kaguya did in the past and makes up his mind to fight her. Knowing nothing about her, Hagoromo cannot trust her-he wonders if the love and the despair she experienced are the sole cause of her anger. Unable to reach an understanding, mother and sons begin their long, sad battle."
463,20,50,"""The No. 1 Most Unpredictable Ninja""Transcription: ""Igai-sei Nanbāwan!"" (Japanese: 意外性ナンバーワン!)",Fujii Toshiro,Masahiro Hikokubo,2016-06-02,NA,8.5,334,Naruto adopts a rather hilarious but effective approach to tackle Kaguya. Obito is back in action. Sasuke faces a challenge. The Four Hokages make an unexpected acquaintance
464,20,51,"""Ninshu: The Ninja Creed""Transcription: ""Ninshū"" (Japanese: 忍宗)",Kiyoshi Murayama,Shin Yoshida,2016-06-09,NA,7.8,231,Rikudô Sen'nin tells the story of how the Ninshû was born.
465,20,52,"""Ashura and Indra""Transcription: ""Ashura to Indora"" (Japanese: アシュラとインドラ)",Maki Odaira,Shin Yoshida,2016-06-16,NA,7.6,223,Tells the story of the ancestors of the uchiha and senju clan.
466,20,53,"""The Tumultuous Journey""Transcription: ""Shiren no Tabi"" (Japanese: 試練の旅)",Masayuki Yamada,Shin Yoshida,2016-06-30,NA,7.5,220,Hagoromo must decide whom will be his successor
467,20,54,"""Ashura's Decision""Transcription: ""Ashura no Ketsui"" (Japanese: アシュラの決意)",Atsushi Nigorikawa,Shin Yoshida,2016-07-07,NA,7.8,222,Indra completes his mission. Asura finds the definitive solution for his village. Hagoromo must take his final decision.
468,20,55,"""The Successor""Transcription: ""Kōkeisha"" (Japanese: 後継者)",Kazuya Iwata,Shin Yoshida,2016-07-21,NA,8.2,266,Hagoromo finally chooses who will be the successor to Ninja creed.
469,20,56,"""A Special Mission""Transcription: ""Tokubetsu Ninmu"" (Japanese: 特別任務)",Masayuki Kouda,Shuto Tanaka,2016-07-28,NA,8,290,"Naruto, Sasuke and Sakura take on a special mission."
470,20,57,"""Connecting Thoughts""Transcription: ""Tsunagaru Omoi"" (Japanese: 繋がる想い)",Masaaki Kumagai,Katsuhiko Chiba,2016-08-04,NA,7.8,457,The battle with Kaguya continues with an unexpected turn of events.
471,20,58,"""The Two of Them... Always""Transcription: ""Futari o Chanto"" (Japanese: 二人をちゃんと)",Naoki Horiuchi,Yuka Miyata,2016-08-11,NA,8.4,344,Obito redeems himself by sacrificing his remaining energy to save Sasuke and Sakura.
472,20,59,"""You Better...""Transcription: ""Omae wa Kanarazu"" (Japanese: お前は必ず)",Kazunori Mizuno,Yuka Miyata,2016-08-18,NA,7.6,608,"Obito, sharing a common bond with Naruto over their ambitions to become Hokage, tells Naruto about his dreams."
473,20,60,"""Sharingan Again""Transcription: ""Sharingan, Futatabi"" (Japanese: 写輪眼、再び)",Kiyoshi Murayama,Yuka Miyata,2016-08-25,NA,7.9,779,Obito enters Kakashi's mind and grants him power.
474,20,61,"""Congratulations""Transcription: ""Omedetō"" (Japanese: おめでとう)",Masahiko Murata,Masahiro Hikokubo,2016-09-01,NA,8.8,1404,"The ninjas make their final move to seal Kaguya and free the Tailed Beasts, but Black Zetsu slips through in an attempt to escape defeat."
475,20,62,"""The Final Valley""Transcription: ""Shūmatsu no Tani"" (Japanese: 終末の谷)",Yoshihiro Sugai,Katsuhiko Chiba,2016-09-08,NA,7.7,725,"With Kaguya's defeat, Hagomoro declares that Naruto and Sasuke can combine their power to dispel the Infinite Tsukuyomi, but Sasuke takes control of the Tailed Beasts and reveals his intention to kill the five living kage."
476,20,63,"""The Final Battle""Transcription: ""Saigo no Tatakai"" (Japanese: 最後の戦い)",Hiroyuki Yamashita,Yuka Miyata,2016-09-29,NA,8.9,1683,Sasuke reveals his motivations as the fated final battle between two friends begins.
477,20,64,"""Naruto and Sasuke""Transcription: ""Naruto to Sasuke"" (Japanese: ナルトとサスケ)",Hiroyuki Yamashita,Yuka Miyata,2016-09-29,NA,9.2,2947,A continuation of Naruto and Sasuke final battle.
478,20,65,"""The Unison Sign""Transcription: ""Wakai no In"" (Japanese: 和解の印)",Toshiyuki Tsuru,Yasuaki Kurozu,2016-10-06,NA,8.8,1367,"Interrupted in the heat of battle by a blinding light, Naruto and Sasuke begin witnessing flashbacks of their childhood."
479,20,66,"""Naruto Uzumaki!""Transcription: ""Uzumaki Naruto!!"" (Japanese: うずまきナルト！！)",Hayato Date,Yasuaki Kurozu,2016-10-13,NA,8.1,915,Sakura tends to the wounded Naruto and Sasuke as the tree finally collapses and frees the people of the world; The ninja of Leaf Village begins the long process of recovery after the war; Naruto has a heart-to-heart talk with Iruka.
480,21,1,"""Naruto and Hinata"" (Japanese: NARUTO・HINATA)",Osamu Kobayashi,Osamu Kobayashi,2016-10-20,NA,7.5,321,"Ostracized due to the Nine Tails that lives within him, young Naruto leads a solitary life in Leaf Village, until a stranger appears; Hinata celebrates her third birthday and meets Neji."
481,21,2,"""Sasuke and Sakura"" (Japanese: SASUKE・SAKURA)",Mitsuto Yamaji,Osamu Kobayashi,2016-10-27,NA,6.7,272,"Young Sasuke wants to spend more time with his brother, Itachi; a reclusive Sakura receives a present from Ino."
482,21,3,"""Gaara and Shikamaru"" (Japanese: GAARA・SHIKAMARU)",Osamu Sekita,Osamu Kobayashi,2016-11-03,NA,6.7,268,"A motherless Gaara grows up under the eye of his uncle, Yashamaru; Shikamaru pranks Choji."
483,21,4,"""Jiraiya and Kakashi"" (Japanese: JIRAIYA・KAKASHI)",Taisuke Mamoru,Osamu Kobayashi,2016-11-10,NA,6.9,268,Young Jiraiya ropes Orochimaru into his plans to get Tsunade to notice him; Rin and Obito try to get to know orphaned loner Kakashi.
484,21,5,"""The Exploding Human""Transcription: ""Kibaku Ningen"" (Japanese: 起爆人間)",Chiaki Kon,Masanao Akahoshi,2016-12-01,NA,7.4,322,"Sasuke begins a journey of atonement following the Fourth Great Ninja War; Kakashi, Naruto and Sakura discuss a series of disappearances in Leaf Village; The village fends off a group of possessed attackers who explode when wounded."
485,21,6,"""Coliseum""Transcription: ""Koroshiamu"" (Japanese: 闘技場（コロシアム）)",Ayumi Ono,Masanao Akahoshi,2016-12-08,NA,7.4,313,"Sasuke, Chino and Nowaki search for clues about the exploding humans who attacked Leaf Village."
486,21,7,"""Fūshin"" (Japanese: 風心（フウシン）)",Shingo Okano,Masanao Akahoshi,2016-12-15,NA,7.4,302,"Continuing his investigation, Sasuke follows Orochimaru to the Coliseum to stage a fight and draw out a potential informant, but a sudden attack by more exploding humans derails the plan."
487,21,8,"""The Ketsuryūgan""Transcription: ""Ketsuryūgan"" (Japanese: 血龍眼)",Osamu Sekita,Masanao Akahoshi,2016-12-22,NA,7.1,303,"After Sasuke fails to capture Fushin, he regroups with Chino at Hell Valley and learns how she came to be associated with Fushin."
488,21,9,"""The Last One""Transcription: ""Saigo no Hitori"" (Japanese: 最後の一人)",Chiaki Kon,Masanao Akahoshi,2017-01-05,NA,8,366,Sasuke's search for the source of the recent troubles draws toward its conclusion.
489,21,10,"""The State of Affairs""Transcription: ""Fūun"" (Japanese: 風雲)",Toshinori Watanabe,Masaya Honda,2017-01-12,NA,7.5,317,"Two years after the Fourth Great Ninja War, Shikamaru works as a Leaf Village representative undertaking an investigation into numerous disappearances."
490,21,11,"""Dark Clouds""Transcription: ""An'un"" (Japanese: 暗雲)",Taiji Kawanishi,Masaya Honda,2017-01-19,NA,7.1,302,"Sai, investigating the Land of Silence, sends a cryptic message back to Leaf Village; Shikamaru decides to head for the Land of Silence with Soku and Ro, but the team must pass through a heavily guarded checkpoint first."
491,21,12,"""Recklessness""Transcription: ""Yamikumo"" (Japanese: 闇雲)",Naoki Hishikawa,Masaya Honda,2017-01-26,NA,7.1,299,"Shikamaru and his team approach Fushu Castle, learning that Gengo will make a public appearance, they infiltrate the square, where they see Sai being held captive."
492,21,13,"""Cloud of Suspicion""Transcription: ""Giun"" (Japanese: 疑雲)",Masayuki Matsumoto,Masaya Honda,2017-02-02,NA,7.2,298,"Shikamaru is captured while trying to save Sai and stop Gengo. Far from giving up, he racks his brain to find a away out of the situation. Just as an opportunity presents itself, Ro and Soku appear under Gengo's control."
493,21,14,"""Dawn""Transcription: ""Shinonome"" (Japanese: 東雲)",Toshinori Watanabe,Masaya Honda,2017-02-09,NA,7.4,306,"Ino, Choji, and Temari rush to Shikamaru's aid. Choji takes on Ro, Temari goes after Soku, and Ino goes after Sai. Meanwhile, Shikamaru pursues Gengo. Can Shikamaru defeat Gengo's evil ambitions? The final battle begins."
494,21,15,"""Naruto's Wedding""Transcription: ""Naruto no Kekkon"" (Japanese: ナルトの結婚)",Michisoku Matsuda,Kento Shimoyama,2017-02-16,NA,7.4,312,"As Naruto and Hinata's wedding day approaches, Kakashi encounters a problem -- if all of Naruto's elite ninja friends attend, the village will be left undefended."
495,21,16,"""A Full-Powered Wedding Gift""Transcription: ""Furupawā Kekkon Iwai"" (Japanese: フルパワー結婚祝い)",Masahiko Murata,Kento Shimoyama,2017-02-16,NA,6.8,321,"As Kakashi tries to find the most reasonable solution to the wedding guest problem, he announces a super-secret mission to find Naruto and Hinata a wedding gift."
496,21,17,"""Steam and Food Pills""Transcription: ""Yukemuri to Hyōrōgan"" (Japanese: 湯けむりと兵糧丸)",Yoshihiro Sugai,Kento Shimoyama,2017-02-23,NA,7.5,320,"The game of finding gift for naruto's wedding is still fierce. Shikamaru along with Temari and Choji, Ino, Sakura search for the perfect gift."
497,21,18,"""The Kazekage's Wedding Gift""Transcription: ""Kazekage no Oiwai"" (Japanese: 風影の御祝)",Maki Odaira,Kento Shimoyama,2017-03-02,NA,7.2,308,The Tsuchikage and Raikage come to Leaf Village to attend the Five Kage Summit and prepare wedding gifts for Naruto; Gaara finds himself in a dilemma.
498,21,19,"""The Last Mission""Transcription: ""Saigo no Ninmu"" (Japanese: 最後の任務)",Naoki Horiuchi,Kento Shimoyama,2017-03-09,NA,6.8,313,Kiba makes it his goal to become the next Hokage; Shino faces doubts about his own goal and sets out with Kiba and Akamaru on their final mission as Team 8.
499,21,20,"""The Outcome of the Secret Mission""Transcription: ""Gokuhi Ninmu no Yukue"" (Japanese: 極秘任務の行方)",Kazunori Mizuno,Kento Shimoyama,2017-03-16,NA,7.7,330,"As the wedding day approaches, each of Naruto's friends readies a gift, but no one expects their mission's true purpose - the gifts will be judged to select who can attend the wedding reception; Kakashi begins to doubt the plan."
500,21,21,"""The Message""Transcription: ""Iwai no Kotoba"" (Japanese: 祝いの言葉)",Masahiko Murata,Kento Shimoyama,2017-03-23,NA,8.3,1359,"The day of the wedding finally arrives, as Iruka finally figures out the perfect message."
